year_month,person_or_corporation,state_brazil,default_rate
2005-07-01,P,AC,3.89
2005-07-01,P,AL,7.24
2005-07-01,P,AP,4.10
2005-07-01,P,AM,6.26
2005-07-01,P,BA,7.97
2005-07-01,P,CE,8.57
2005-07-01,P,DF,4.99
2005-07-01,P,ES,4.59
2005-07-01,P,GO,3.54
2005-07-01,P,MA,9.51
2005-07-01,P,MT,3.43
2005-07-01,P,MS,2.56
2005-07-01,P,MG,4.47
2005-07-01,P,PA,5.86
2005-07-01,P,PB,5.95
2005-07-01,P,PR,3.06
2005-07-01,P,PE,8.96
2005-07-01,P,PI,7.24
2005-07-01,P,RJ,6.55
2005-07-01,P,RN,5.50
2005-07-01,P,RS,3.05
2005-07-01,P,RO,3.86
2005-07-01,P,RR,8.10
2005-07-01,P,SC,3.04
2005-07-01,P,SP,4.59
2005-07-01,P,SE,7.81
2005-07-01,P,TO,4.85
2005-08-01,P,AC,4.17
2005-08-01,P,AL,7.34
2005-08-01,P,AP,4.52
2005-08-01,P,AM,6.42
2005-08-01,P,BA,7.88
2005-08-01,P,CE,8.57
2005-08-01,P,DF,5.12
2005-08-01,P,ES,4.63
2005-08-01,P,GO,4.37
2005-08-01,P,MA,9.40
2005-08-01,P,MT,4.05
2005-08-01,P,MS,2.74
2005-08-01,P,MG,4.59
2005-08-01,P,PA,6.21
2005-08-01,P,PB,5.95
2005-08-01,P,PR,3.37
2005-08-01,P,PE,8.91
2005-08-01,P,PI,7.60
2005-08-01,P,RJ,6.60
2005-08-01,P,RN,5.78
2005-08-01,P,RS,3.28
2005-08-01,P,RO,4.20
2005-08-01,P,RR,8.32
2005-08-01,P,SC,3.08
2005-08-01,P,SP,4.66
2005-08-01,P,SE,7.84
2005-08-01,P,TO,5.35
2005-09-01,P,AC,4.53
2005-09-01,P,AL,7.43
2005-09-01,P,AP,4.49
2005-09-01,P,AM,6.42
2005-09-01,P,BA,8.00
2005-09-01,P,CE,8.34
2005-09-01,P,DF,5.16
2005-09-01,P,ES,4.61
2005-09-01,P,GO,4.72
2005-09-01,P,MA,9.25
2005-09-01,P,MT,5.90
2005-09-01,P,MS,2.86
2005-09-01,P,MG,4.62
2005-09-01,P,PA,6.27
2005-09-01,P,PB,5.87
2005-09-01,P,PR,3.63
2005-09-01,P,PE,8.83
2005-09-01,P,PI,7.62
2005-09-01,P,RJ,6.75
2005-09-01,P,RN,5.81
2005-09-01,P,RS,3.45
2005-09-01,P,RO,4.44
2005-09-01,P,RR,8.25
2005-09-01,P,SC,3.08
2005-09-01,P,SP,4.68
2005-09-01,P,SE,7.66
2005-09-01,P,TO,5.37
2005-10-01,P,AC,4.76
2005-10-01,P,AL,7.71
2005-10-01,P,AP,4.73
2005-10-01,P,AM,6.82
2005-10-01,P,BA,8.30
2005-10-01,P,CE,8.37
2005-10-01,P,DF,5.38
2005-10-01,P,ES,4.73
2005-10-01,P,GO,6.31
2005-10-01,P,MA,9.34
2005-10-01,P,MT,7.08
2005-10-01,P,MS,3.13
2005-10-01,P,MG,4.71
2005-10-01,P,PA,6.53
2005-10-01,P,PB,6.05
2005-10-01,P,PR,3.78
2005-10-01,P,PE,8.93
2005-10-01,P,PI,7.93
2005-10-01,P,RJ,6.92
2005-10-01,P,RN,5.89
2005-10-01,P,RS,3.61
2005-10-01,P,RO,4.90
2005-10-01,P,RR,8.29
2005-10-01,P,SC,3.12
2005-10-01,P,SP,4.81
2005-10-01,P,SE,7.76
2005-10-01,P,TO,5.94
2005-11-01,P,AC,4.86
2005-11-01,P,AL,7.77
2005-11-01,P,AP,4.83
2005-11-01,P,AM,7.03
2005-11-01,P,BA,7.81
2005-11-01,P,CE,7.99
2005-11-01,P,DF,5.42
2005-11-01,P,ES,4.69
2005-11-01,P,GO,7.60
2005-11-01,P,MA,9.20
2005-11-01,P,MT,7.21
2005-11-01,P,MS,3.20
2005-11-01,P,MG,4.77
2005-11-01,P,PA,6.63
2005-11-01,P,PB,5.99
2005-11-01,P,PR,3.85
2005-11-01,P,PE,8.98
2005-11-01,P,PI,8.03
2005-11-01,P,RJ,7.01
2005-11-01,P,RN,5.90
2005-11-01,P,RS,3.54
2005-11-01,P,RO,4.84
2005-11-01,P,RR,9.46
2005-11-01,P,SC,3.10
2005-11-01,P,SP,4.87
2005-11-01,P,SE,7.75
2005-11-01,P,TO,5.88
2005-12-01,P,AC,4.60
2005-12-01,P,AL,7.61
2005-12-01,P,AP,4.99
2005-12-01,P,AM,6.73
2005-12-01,P,BA,7.70
2005-12-01,P,CE,7.70
2005-12-01,P,DF,5.33
2005-12-01,P,ES,4.43
2005-12-01,P,GO,7.36
2005-12-01,P,MA,9.09
2005-12-01,P,MT,7.47
2005-12-01,P,MS,3.19
2005-12-01,P,MG,4.60
2005-12-01,P,PA,6.49
2005-12-01,P,PB,5.69
2005-12-01,P,PR,3.61
2005-12-01,P,PE,8.85
2005-12-01,P,PI,8.38
2005-12-01,P,RJ,6.59
2005-12-01,P,RN,5.31
2005-12-01,P,RS,3.40
2005-12-01,P,RO,4.67
2005-12-01,P,RR,9.38
2005-12-01,P,SC,2.86
2005-12-01,P,SP,4.57
2005-12-01,P,SE,7.61
2005-12-01,P,TO,5.67
2006-01-01,P,AC,4.70
2006-01-01,P,AL,7.75
2006-01-01,P,AP,5.13
2006-01-01,P,AM,6.81
2006-01-01,P,BA,8.15
2006-01-01,P,CE,7.77
2006-01-01,P,DF,5.23
2006-01-01,P,ES,4.51
2006-01-01,P,GO,7.53
2006-01-01,P,MA,9.06
2006-01-01,P,MT,7.90
2006-01-01,P,MS,3.65
2006-01-01,P,MG,4.70
2006-01-01,P,PA,6.79
2006-01-01,P,PB,5.73
2006-01-01,P,PR,3.79
2006-01-01,P,PE,8.99
2006-01-01,P,PI,8.38
2006-01-01,P,RJ,6.76
2006-01-01,P,RN,5.61
2006-01-01,P,RS,3.51
2006-01-01,P,RO,5.17
2006-01-01,P,RR,9.59
2006-01-01,P,SC,2.99
2006-01-01,P,SP,4.84
2006-01-01,P,SE,7.60
2006-01-01,P,TO,5.53
2006-02-01,P,AC,4.71
2006-02-01,P,AL,7.65
2006-02-01,P,AP,5.14
2006-02-01,P,AM,6.77
2006-02-01,P,BA,8.35
2006-02-01,P,CE,7.57
2006-02-01,P,DF,5.20
2006-02-01,P,ES,4.69
2006-02-01,P,GO,7.60
2006-02-01,P,MA,9.26
2006-02-01,P,MT,8.54
2006-02-01,P,MS,3.77
2006-02-01,P,MG,4.85
2006-02-01,P,PA,6.89
2006-02-01,P,PB,5.95
2006-02-01,P,PR,3.98
2006-02-01,P,PE,9.03
2006-02-01,P,PI,8.38
2006-02-01,P,RJ,6.97
2006-02-01,P,RN,5.89
2006-02-01,P,RS,3.61
2006-02-01,P,RO,5.30
2006-02-01,P,RR,9.64
2006-02-01,P,SC,3.08
2006-02-01,P,SP,5.09
2006-02-01,P,SE,7.63
2006-02-01,P,TO,5.45
2006-03-01,P,AC,5.05
2006-03-01,P,AL,7.70
2006-03-01,P,AP,5.90
2006-03-01,P,AM,6.80
2006-03-01,P,BA,8.63
2006-03-01,P,CE,7.75
2006-03-01,P,DF,5.23
2006-03-01,P,ES,4.77
2006-03-01,P,GO,7.83
2006-03-01,P,MA,9.47
2006-03-01,P,MT,8.89
2006-03-01,P,MS,3.80
2006-03-01,P,MG,5.20
2006-03-01,P,PA,7.17
2006-03-01,P,PB,6.04
2006-03-01,P,PR,4.15
2006-03-01,P,PE,9.24
2006-03-01,P,PI,8.52
2006-03-01,P,RJ,7.30
2006-03-01,P,RN,6.00
2006-03-01,P,RS,3.72
2006-03-01,P,RO,5.64
2006-03-01,P,RR,9.94
2006-03-01,P,SC,3.24
2006-03-01,P,SP,5.27
2006-03-01,P,SE,7.93
2006-03-01,P,TO,5.65
2006-04-01,P,AC,5.13
2006-04-01,P,AL,7.69
2006-04-01,P,AP,5.89
2006-04-01,P,AM,7.03
2006-04-01,P,BA,8.71
2006-04-01,P,CE,7.87
2006-04-01,P,DF,5.25
2006-04-01,P,ES,4.81
2006-04-01,P,GO,7.90
2006-04-01,P,MA,9.90
2006-04-01,P,MT,9.39
2006-04-01,P,MS,3.85
2006-04-01,P,MG,5.34
2006-04-01,P,PA,7.29
2006-04-01,P,PB,6.19
2006-04-01,P,PR,4.35
2006-04-01,P,PE,9.20
2006-04-01,P,PI,8.46
2006-04-01,P,RJ,7.52
2006-04-01,P,RN,5.86
2006-04-01,P,RS,3.84
2006-04-01,P,RO,5.74
2006-04-01,P,RR,9.79
2006-04-01,P,SC,3.31
2006-04-01,P,SP,5.46
2006-04-01,P,SE,7.82
2006-04-01,P,TO,6.02
2006-05-01,P,AC,5.52
2006-05-01,P,AL,7.60
2006-05-01,P,AP,5.94
2006-05-01,P,AM,7.44
2006-05-01,P,BA,8.79
2006-05-01,P,CE,8.11
2006-05-01,P,DF,5.12
2006-05-01,P,ES,4.82
2006-05-01,P,GO,7.32
2006-05-01,P,MA,9.86
2006-05-01,P,MT,9.05
2006-05-01,P,MS,3.87
2006-05-01,P,MG,5.48
2006-05-01,P,PA,7.27
2006-05-01,P,PB,6.18
2006-05-01,P,PR,4.47
2006-05-01,P,PE,9.31
2006-05-01,P,PI,8.24
2006-05-01,P,RJ,7.80
2006-05-01,P,RN,5.91
2006-05-01,P,RS,3.87
2006-05-01,P,RO,5.76
2006-05-01,P,RR,9.44
2006-05-01,P,SC,3.39
2006-05-01,P,SP,5.66
2006-05-01,P,SE,7.53
2006-05-01,P,TO,5.61
2006-06-01,P,AC,5.49
2006-06-01,P,AL,7.30
2006-06-01,P,AP,5.96
2006-06-01,P,AM,7.15
2006-06-01,P,BA,8.62
2006-06-01,P,CE,7.76
2006-06-01,P,DF,4.90
2006-06-01,P,ES,4.60
2006-06-01,P,GO,6.91
2006-06-01,P,MA,9.81
2006-06-01,P,MT,9.70
2006-06-01,P,MS,3.85
2006-06-01,P,MG,5.03
2006-06-01,P,PA,6.89
2006-06-01,P,PB,6.14
2006-06-01,P,PR,4.25
2006-06-01,P,PE,9.12
2006-06-01,P,PI,7.90
2006-06-01,P,RJ,7.21
2006-06-01,P,RN,5.75
2006-06-01,P,RS,3.78
2006-06-01,P,RO,5.63
2006-06-01,P,RR,9.33
2006-06-01,P,SC,3.40
2006-06-01,P,SP,5.30
2006-06-01,P,SE,7.26
2006-06-01,P,TO,5.69
2006-07-01,P,AC,5.56
2006-07-01,P,AL,7.33
2006-07-01,P,AP,6.04
2006-07-01,P,AM,7.15
2006-07-01,P,BA,8.23
2006-07-01,P,CE,7.83
2006-07-01,P,DF,4.82
2006-07-01,P,ES,4.51
2006-07-01,P,GO,6.83
2006-07-01,P,MA,9.84
2006-07-01,P,MT,11.01
2006-07-01,P,MS,4.55
2006-07-01,P,MG,4.98
2006-07-01,P,PA,6.75
2006-07-01,P,PB,6.23
2006-07-01,P,PR,4.59
2006-07-01,P,PE,9.12
2006-07-01,P,PI,7.86
2006-07-01,P,RJ,7.40
2006-07-01,P,RN,5.73
2006-07-01,P,RS,4.00
2006-07-01,P,RO,5.91
2006-07-01,P,RR,8.79
2006-07-01,P,SC,3.51
2006-07-01,P,SP,5.41
2006-07-01,P,SE,7.14
2006-07-01,P,TO,5.72
2006-08-01,P,AC,5.28
2006-08-01,P,AL,7.13
2006-08-01,P,AP,5.74
2006-08-01,P,AM,6.94
2006-08-01,P,BA,8.26
2006-08-01,P,CE,7.62
2006-08-01,P,DF,4.78
2006-08-01,P,ES,4.32
2006-08-01,P,GO,7.50
2006-08-01,P,MA,9.74
2006-08-01,P,MT,12.81
2006-08-01,P,MS,5.28
2006-08-01,P,MG,5.08
2006-08-01,P,PA,6.76
2006-08-01,P,PB,6.13
2006-08-01,P,PR,5.29
2006-08-01,P,PE,8.84
2006-08-01,P,PI,7.96
2006-08-01,P,RJ,7.37
2006-08-01,P,RN,5.51
2006-08-01,P,RS,4.48
2006-08-01,P,RO,6.09
2006-08-01,P,RR,7.57
2006-08-01,P,SC,3.76
2006-08-01,P,SP,5.45
2006-08-01,P,SE,6.74
2006-08-01,P,TO,5.73
2006-09-01,P,AC,4.60
2006-09-01,P,AL,7.37
2006-09-01,P,AP,5.35
